name,date,stars,comment
RYryannUS•1 review,2 days ago,0,"greatgreat and shi yeah they cheap w good clothesDate of experience: August 10, 2025"
EBERICKA BOYDUS•2 reviews,2 days ago,0,"Return items cost 4.99 per item not per orderI purchased several things for my vacation. Most of it didn't fit . I referred to the chart but it wasn't accurate. I was disappointed to find out that I had to pay 4.99 per item to return them. I almost started to keep them but realized I would be putting more money in to alternate it. So items the pants fit but not the to an vice versa. I have only been ordering more items online due to the shortage of items in the stores. So I think I need not to order from your site 4.99 adds up . Most other sites will at least give you 30 days on most items. I did get some cute vacation PJ two a little large but I do love themDate of experience: August 10, 2025"
IDIWALE destinyNG•1 review,2 days ago,0,"I have been trying to order and it…I have been trying to order and it keeps telling me order canceled Date of experience: August 10, 2025"
EWElora WrightUS•1 review,2 days ago,0,"Love shopping with fashion nova always…Love shopping with fashion nova always has beautiful clothes Date of experience: August 10, 2025"
TMTyra MayUS•1 review,2 days ago,0,"Fashion Nova never disappointsFashion Nova never disappoints. I love the fabric. It fits true to size. Date of experience: August 10, 2025"
CHC HarrisUS•2 reviews,2 days ago,0,"Items removed too quicklyItems removed too quickly. Also, would be great if free shipping started at $50.Date of experience: August 10, 2025"
ANAngelUS•1 review,2 days ago,0,"I had to pay for shipping on an item…I had to pay for shipping on an item canceled that’s still in stock Date of experience: August 10, 2025"
DCDarlene CharlesUS•1 review,2 days ago,0,"I pay shipping for 0ne day shipping  but it's coming on Tuesday  19 dollars for nothing pay shipping for 0ne day but coming  on Tuesday. That isn't fair 19.dollars for what.Date of experience: August 10, 2025"
MBMalcolm BrownUS•1 review,2 days ago,0,"Good Deals❗️Date of experience: August 10, 2025"
FNFashion NovaVG•1 review,2 days ago,0,"Good quality cloths expecially jeansDate of experience: August 10, 2025"
ALALUS•1 review,2 days ago,0,"Great prices and clothes.Date of experience: August 10, 2025"
FRFelicia RichardsonUS•1 review,2 days ago,0,"I love everything about Fashion Nova!Date of experience: August 10, 2025"
ABAnnie BellUS•1 review,2 days ago,0,"The sizes run small but I eventually…The sizes run small but I eventually get rightDate of experience: August 10, 2025"
FNFashion NovaUS•1 review,2 days ago,0,"goodcute clothes easy to shopDate of experience: August 10, 2025"
FNFashion NovaUS•1 review,2 days ago,0,"Over all good appDate of experience: August 10, 2025"
CGCharmaine GuyUS•2 reviews,2 days ago,0,"I love the material.I love the material. Date of experience: August 10, 2025"
